Lon Lat Yield EC WHC
-111.785117 42.605248 121.63 12.4 5.13
-111.784443 42.605248 109.26 20.9 NA
-111.783769 42.605248 122.54 23.95 NA
-111.783095 42.605248 124.81 24.12 NA
-111.786464 42.605552 142.45 15.1 NA
-111.785791 42.605552 143.95 17.76 NA
-111.785117 42.605552 126.81 13.82 NA
-111.784443 42.605552 114.17 18.55 NA
-111.783769 42.605552 114.88 23.69 7
-111.783095 42.605552 131.58 27.7 NA
-111.782421 42.605552 127 26.37 NA
-111.781748 42.605552 118.61 25.32 NA
-111.786464 42.605857 145.15 19.15 NA
-111.785791 42.605857 141.51 15.5 NA
-111.785117 42.605857 137.75 17.56 NA
-111.784443 42.605857 115.01 20.2 NA
-111.783769 42.605857 103.51 26.54 7.18
-111.783095 42.605857 118.45 25.86 NA
-111.782421 42.605857 108.03 25.57 NA
-111.781748 42.605857 130.93 26.18 NA
-111.787138 42.606161 142.09 18.84 NA
-111.786464 42.606161 150 19.5 6.48
-111.785791 42.606161 140.67 16.72 NA
-111.785117 42.606161 143.63 15.19 NA
-111.784443 42.606161 129.66 22.61 NA
-111.783769 42.606161 119.74 23.2 NA
-111.783095 42.606161 117.79 24.27 NA
-111.782421 42.606161 110.78 27.47 NA
-111.781748 42.606161 114.35 25.75 NA
-111.781074 42.606161 125.51 27.73 NA
-111.787812 42.606465 112.19 16.95 NA
-111.787138 42.606465 139.13 18.8 NA
-111.786464 42.606465 153.61 18.38 NA
-111.785791 42.606465 153.76 17.71 NA
-111.785117 42.606465 126.35 19.66 NA
-111.784443 42.606465 118.87 26.13 5.01
-111.783769 42.606465 119.09 25.02 NA
-111.783095 42.606465 116.69 24.09 NA
-111.782421 42.606465 102.2 26.03 NA
-111.781748 42.606465 111.12 27.5 NA
-111.781074 42.606465 124.33 27.62 6.74
-111.7804 42.606465 112.41 22.63 7.67
-111.787812 42.60677 102.9 21.17 NA
-111.787138 42.60677 126.84 16.9 NA
-111.786464 42.60677 154.1 20.28 NA
-111.785791 42.60677 160.51 19.05 NA
-111.785117 42.60677 124.33 21.38 6.55
-111.784443 42.60677 127.79 25.49 NA
-111.783769 42.60677 108.59 23.41 NA
-111.783095 42.60677 111.84 25.11 NA
-111.782421 42.60677 105.17 28.66 NA
-111.781748 42.60677 122.83 29 NA
-111.781074 42.60677 129.51 29.2 NA
-111.7804 42.60677 122.63 26.71 NA
-111.788486 42.607074 108.75 27.7 NA
-111.787812 42.607074 118.8 20.29 4.37
-111.787138 42.607074 135.46 16.63 NA
-111.786464 42.607074 148.44 22.75 NA
-111.785791 42.607074 147.73 20.58 NA
-111.785117 42.607074 140.33 21.25 NA
-111.784443 42.607074 120.08 27.54 NA
-111.783769 42.607074 110.32 25.95 NA
-111.783095 42.607074 115.03 24.54 6.46
-111.782421 42.607074 105.29 27.14 NA
-111.781748 42.607074 117.4 26.37 NA
-111.781074 42.607074 122.88 28.7 NA
-111.7804 42.607074 113.04 23.85 NA
-111.779726 42.607074 120.58 26.35 NA
-111.788486 42.607379 115.03 23.77 NA
-111.787812 42.607379 131.62 26.25 NA
-111.787138 42.607379 128.12 23.78 NA
-111.786464 42.607379 137.39 21.26 4.44
-111.785791 42.607379 140.98 20.6 NA
-111.785117 42.607379 133.56 20.78 NA
-111.784443 42.607379 112.98 22.68 6.98
-111.783769 42.607379 109.6 23.97 NA
-111.783095 42.607379 104.18 24.84 6.1
-111.782421 42.607379 110.96 22.81 NA
-111.781748 42.607379 116.91 26.65 NA
-111.781074 42.607379 136.96 28.37 NA
-111.7804 42.607379 125.45 28.63 NA
-111.779726 42.607379 117.26 25.8 NA
-111.788486 42.607683 98.76 29.41 NA
-111.787812 42.607683 116.85 25.28 6.41
-111.787138 42.607683 132.33 23.29 NA
-111.786464 42.607683 146.52 22.83 6.57
-111.785791 42.607683 147.83 22.47 5.85
-111.785117 42.607683 148.64 20.08 NA
-111.784443 42.607683 132.31 29.97 5.81
-111.783769 42.607683 117.21 26.06 NA
-111.783095 42.607683 94.97 26.93 NA
-111.782421 42.607683 106.28 23.81 NA
-111.781748 42.607683 119.67 26.14 NA
-111.781074 42.607683 123.98 26.85 NA
-111.7804 42.607683 139.88 25.42 NA
-111.779726 42.607683 109.96 26.3 NA
-111.78916 42.607988 101.26 23.44 NA
-111.788486 42.607988 110.75 27.51 4.64
-111.787812 42.607988 118.98 26.24 4.44
-111.787138 42.607988 145.27 27.94 5.93
-111.786464 42.607988 140.6 25.91 NA
-111.785791 42.607988 135.95 21.34 NA
-111.785117 42.607988 124.22 22.5 NA
-111.784443 42.607988 122.73 20.93 6.59
-111.783769 42.607988 95.28 25.67 NA
-111.783095 42.607988 97.1 24.51 NA
-111.782421 42.607988 104.25 25.87 NA
-111.781748 42.607988 119.94 24.52 7
-111.781074 42.607988 124.14 21.85 NA
-111.7804 42.607988 118.58 24.76 NA
-111.779726 42.607988 121.56 27.94 NA
-111.779052 42.607988 107.35 28.06 NA
-111.78916 42.608292 100.68 22.81 NA
-111.788486 42.608292 119.64 26.63 5.12
-111.787812 42.608292 128.97 26.04 NA
-111.787138 42.608292 133.82 27.23 NA
-111.786464 42.608292 153.75 25.26 NA
-111.785791 42.608292 136.68 23.58 NA
-111.785117 42.608292 133.12 26.53 NA
-111.784443 42.608292 121.17 23.88 NA
-111.783769 42.608292 122.57 27.85 NA
-111.783095 42.608292 103.86 22.65 NA
-111.782421 42.608292 117.37 25.62 NA
-111.781748 42.608292 114.33 27.42 NA
-111.781074 42.608292 136.4 20.11 NA
-111.7804 42.608292 121.35 21.35 NA
-111.779726 42.608292 114.7 26.94 6.53
-111.779052 42.608292 123.59 26.59 NA
-111.78916 42.608597 95.93 22.47 3.59
-111.788486 42.608597 117.38 24.66 4.96
-111.787812 42.608597 134.15 26.03 NA
-111.787138 42.608597 122.32 23.67 NA
-111.786464 42.608597 144.91 24.22 5.88
-111.785791 42.608597 129.31 22.36 8.44
-111.785117 42.608597 123.02 23.04 6.41
-111.784443 42.608597 128.38 23.95 NA
-111.783769 42.608597 113.86 24.94 NA
-111.783095 42.608597 110.59 21.5 NA
-111.782421 42.608597 118.4 25.86 NA
-111.781748 42.608597 123.44 26.34 7.73
-111.781074 42.608597 138.36 23.08 NA
-111.7804 42.608597 114.7 22.87 NA
-111.779726 42.608597 112.21 22.64 NA
-111.779052 42.608597 112.15 24.35 NA
-111.78916 42.608901 101.21 24.69 2.99
-111.788486 42.608901 110.17 23.98 NA
-111.787812 42.608901 131.95 25.57 3.84
-111.787138 42.608901 138.37 24.43 NA
-111.786464 42.608901 143.89 21.62 NA
-111.785791 42.608901 127.39 23.39 8.31
-111.785117 42.608901 121.78 24.68 NA
-111.784443 42.608901 122.63 25.77 NA
-111.783769 42.608901 120.29 20.54 NA
-111.783095 42.608901 113.26 22.7 NA
-111.782421 42.608901 121.87 21.1 NA
-111.781748 42.608901 129.67 24.06 NA
-111.781074 42.608901 127.8 23.49 NA
-111.7804 42.608901 113.1 22.36 NA
-111.779726 42.608901 116.15 23.36 NA
-111.779052 42.608901 111.67 27.97 8.31
-111.78916 42.609206 106.05 24.62 NA
-111.788486 42.609206 109.53 23.29 NA
-111.787812 42.609206 113.39 24.35 NA
-111.787138 42.609206 137.88 24.98 NA
-111.786464 42.609206 133.81 25.93 NA
-111.785791 42.609206 136.45 25.15 NA
-111.785117 42.609206 112.62 26.41 5.49
-111.784443 42.609206 121.85 18.46 NA
-111.783769 42.609206 118.3 21.51 NA
-111.783095 42.609206 107.93 19.84 5.58
-111.782421 42.609206 129.02 25.66 NA
-111.781748 42.609206 127.91 22.92 NA
-111.781074 42.609206 126.1 21.62 NA
-111.7804 42.609206 122.6 19.15 NA
-111.779726 42.609206 102.9 25.09 NA
-111.779052 42.609206 109.06 29.07 NA
-111.78916 42.60951 97.99 22.53 NA
-111.788486 42.60951 110.2 21.67 4.31
-111.787812 42.60951 132.96 25.83 NA
-111.787138 42.60951 122.54 25.68 NA
-111.786464 42.60951 132.16 24.91 NA
-111.785791 42.60951 125.78 21.75 NA
-111.785117 42.60951 126.54 27.42 NA
-111.784443 42.60951 119.11 23.59 NA
-111.783769 42.60951 114.3 21.45 NA
-111.783095 42.60951 118.15 21.59 NA
-111.782421 42.60951 132.07 21.04 NA
-111.781748 42.60951 119.6 21.81 5.17
-111.781074 42.60951 138.19 17.71 NA
-111.7804 42.60951 119.57 20.11 NA
-111.779726 42.60951 109.96 21.23 NA
-111.779052 42.60951 110.66 26.77 8.27
-111.789833 42.609815 88.23 24.21 6.23
-111.78916 42.609815 114.02 25.68 NA
-111.788486 42.609815 122.67 22.08 NA
-111.787812 42.609815 112.8 23.51 5.6
-111.787138 42.609815 122.87 25.52 NA
-111.786464 42.609815 113.69 26.14 NA
