Season Episode ShowNum Viewers
1 1 1 2.22
1 2 2 2.2
1 3 3 2.44
1 4 4 2.45
1 5 5 2.58
1 6 6 2.44
1 7 7 2.4
1 8 8 2.72
1 9 9 2.66
1 10 10 3.04
2 1 11 3.86
2 2 12 3.76
2 3 13 3.77
2 4 14 3.65
2 5 15 3.9
2 6 16 3.88
2 7 17 3.69
2 8 18 3.86
2 9 19 3.38
2 10 20 4.2
3 1 21 4.37
3 2 22 4.27
3 3 23 4.72
3 4 24 4.87
3 5 25 5.35
3 6 26 5.5
3 7 27 4.84
3 8 28 5.13
3 9 29 5.22
3 10 30 5.39
4 1 31 6.64
4 2 32 6.31
4 3 33 6.59
4 4 34 6.95
4 5 35 7.16
4 6 36 6.4
4 7 37 7.2
4 8 38 7.17
4 9 39 6.95
4 10 40 7.09
5 1 41 8
5 2 42 6.81
5 3 43 6.71
5 4 44 6.82
5 5 45 6.56
5 6 46 6.24
5 7 47 5.4
5 8 48 7.01
5 9 49 7.14
5 10 50 8.11
6 1 51 7.94
6 2 52 7.29
6 3 53 7.28
6 4 54 7.82
6 5 55 7.89
6 6 56 6.71
6 7 57 7.8
6 8 58 7.6
6 9 59 7.66
6 10 60 8.89
7 1 61 10.11
7 2 62 9.27
7 3 63 9.25
7 4 64 10.17
7 5 65 10.72
7 6 66 10.24
7 7 67 12.07
7 8 68 11.56
7 9 69 12.12
7 10 70 12.97
