Lon Lat Temp Surface
-95.25 29.75 33.47 urban
-95.25 29.74 34.97 urban
-95.25 29.73 34.59 urban
-95.25 29.72 34.77 urban
-95.25 29.71 34.61 urban
-95.25 29.7 33.79 urban
-95.25 29.69 33.97 urban
-95.25 29.68 35.07 urban
-95.25 29.67 35.87 urban
-95.25 29.66 35.81 urban
-95.25 29.65 35.53 urban
-95.25 29.64 33.91 urban
-95.25 29.63 33.37 urban
-95.25 29.62 34.89 urban
-95.25 29.61 34.19 urban
-95.25 29.6 32.89 urban
-95.25 29.59 32.09 cropland
-95.25 29.58 NA cropland
-95.25 29.57 33.49 forest
-95.25 29.56 33.95 cropland
-95.25 29.55 34.13 urban
-95.25 29.54 33.73 urban
-95.25 29.53 32.85 cropland
-95.25 29.52 31.81 cropland
-95.25 29.51 31.79 cropland
-95.25 29.5 31.79 urban
-95.25 29.49 31.99 cropland
-95.25 29.48 31.53 cropland
-95.25 29.47 32.61 cropland
-95.26 29.75 33.87 urban
-95.26 29.74 35.03 urban
-95.26 29.73 35.15 urban
-95.26 29.72 35.01 urban
-95.26 29.71 34.81 urban
-95.26 29.7 34.07 urban
-95.26 29.69 33.95 urban
-95.26 29.68 35.51 urban
-95.26 29.67 36.35 urban
-95.26 29.66 35.91 urban
-95.26 29.65 35.39 urban
-95.26 29.64 33.83 urban
-95.26 29.63 33.83 cropland
-95.26 29.62 34.47 cropland
-95.26 29.61 33.85 grassland
-95.26 29.6 32.23 cropland
-95.26 29.59 32.13 cropland
-95.26 29.58 NA cropland
-95.26 29.57 NA forest
-95.26 29.56 NA cropland
-95.26 29.55 34.35 cropland
-95.26 29.54 33.83 cropland
-95.26 29.53 33.05 cropland
-95.26 29.52 32.03 cropland
-95.26 29.51 31.91 cropland
-95.26 29.5 31.89 cropland
-95.26 29.49 31.93 cropland
-95.26 29.48 31.29 cropland
-95.26 29.47 32.19 cropland
-95.27 29.75 34.19 urban
-95.27 29.74 35.27 urban
-95.27 29.73 35.67 urban
-95.27 29.72 35.91 urban
-95.27 29.71 36.13 urban
-95.27 29.7 35.77 urban
-95.27 29.69 35.31 urban
-95.27 29.68 35.59 urban
-95.27 29.67 36.73 urban
-95.27 29.66 36.17 urban
-95.27 29.65 35.55 urban
-95.27 29.64 34.47 urban
-95.27 29.63 34.03 urban
-95.27 29.62 33.73 urban
-95.27 29.61 33.69 cropland
-95.27 29.6 32.45 cropland
-95.27 29.59 33.03 cropland
-95.27 29.58 NA cropland
-95.27 29.57 NA cropland
-95.27 29.56 NA cropland
-95.27 29.55 NA cropland
-95.27 29.54 33.61 urban
-95.27 29.53 33.11 cropland
-95.27 29.52 32.35 cropland
-95.27 29.51 32.11 cropland
-95.27 29.5 32.07 cropland
-95.27 29.49 31.79 cropland
-95.27 29.48 31.17 cropland
-95.27 29.47 31.49 savanna
-95.28 29.75 34.87 urban
-95.28 29.74 35.67 urban
-95.28 29.73 35.69 urban
-95.28 29.72 36.01 urban
-95.28 29.71 36.53 urban
-95.28 29.7 36.49 urban
-95.28 29.69 36.05 urban
-95.28 29.68 35.99 urban
-95.28 29.67 35.57 urban
-95.28 29.66 35.19 urban
-95.28 29.65 35.23 urban
-95.28 29.64 35.13 cropland
-95.28 29.63 34.27 urban
-95.28 29.62 33.21 cropland
-95.28 29.61 33.03 urban
-95.28 29.6 33.19 savanna
-95.28 29.59 32.95 cropland
-95.28 29.58 33.57 cropland
-95.28 29.57 NA urban
-95.28 29.56 NA urban
-95.28 29.55 NA urban
-95.28 29.54 NA cropland
-95.28 29.53 33.19 cropland
-95.28 29.52 32.35 cropland
-95.28 29.51 32.33 cropland
-95.28 29.5 31.81 cropland
-95.28 29.49 31.69 cropland
-95.28 29.48 31.57 cropland
-95.28 29.47 31.35 cropland
-95.29 29.75 35.71 urban
-95.29 29.74 36.29 urban
-95.29 29.73 35.57 urban
-95.29 29.72 36.15 urban
-95.29 29.71 36.97 urban
-95.29 29.7 36.87 urban
-95.29 29.69 36.47 urban
-95.29 29.68 36.23 urban
-95.29 29.67 34.53 urban
-95.29 29.66 34.39 urban
-95.29 29.65 35.45 urban
-95.29 29.64 35.95 urban
-95.29 29.63 34.77 urban
-95.29 29.62 32.71 urban
-95.29 29.61 32.83 urban
-95.29 29.6 33.29 urban
-95.29 29.59 32.81 cropland
-95.29 29.58 33.55 urban
-95.29 29.57 35.13 urban
-95.29 29.56 NA urban
-95.29 29.55 NA urban
-95.29 29.54 NA cropland
-95.29 29.53 NA cropland
-95.29 29.52 32.33 cropland
-95.29 29.51 32.05 cropland
-95.29 29.5 31.77 cropland
-95.29 29.49 31.89 cropland
-95.29 29.48 31.95 cropland
-95.29 29.47 31.29 cropland
-95.3 29.75 36.57 urban
-95.3 29.74 36.75 urban
-95.3 29.73 35.93 urban
-95.3 29.72 35.51 urban
-95.3 29.71 37.35 urban
-95.3 29.7 36.63 urban
-95.3 29.69 36.45 urban
-95.3 29.68 36.49 urban
-95.3 29.67 34.33 forest
-95.3 29.66 33.59 cropland
-95.3 29.65 34.49 urban
-95.3 29.64 34.23 urban
-95.3 29.63 33.51 grassland
-95.3 29.62 32.03 urban
-95.3 29.61 32.57 cropland
-95.3 29.6 32.93 urban
-95.3 29.59 32.77 cropland
-95.3 29.58 33.11 cropland
-95.3 29.57 34.59 urban
-95.3 29.56 NA urban
-95.3 29.55 NA cropland
-95.3 29.54 NA cropland
-95.3 29.53 NA cropland
-95.3 29.52 NA cropland
-95.3 29.51 31.53 cropland
-95.3 29.5 32.05 cropland
-95.3 29.49 32.15 cropland
-95.3 29.48 32.07 cropland
-95.3 29.47 31.35 cropland
-95.31 29.75 36.89 urban
-95.31 29.74 36.95 urban
-95.31 29.73 36.25 urban
-95.31 29.72 36.19 urban
-95.31 29.71 36.49 urban
-95.31 29.7 36.57 urban
-95.31 29.69 36.47 urban
-95.31 29.68 36.39 urban
-95.31 29.67 35.09 urban
-95.31 29.66 33.99 savanna
-95.31 29.65 34.05 urban
-95.31 29.64 33.55 urban
-95.31 29.63 33.43 cropland
-95.31 29.62 32.55 cropland
-95.31 29.61 32.61 cropland
-95.31 29.6 32.63 urban
-95.31 29.59 32.65 cropland
-95.31 29.58 32.73 cropland
-95.31 29.57 33.77 cropland
-95.31 29.56 33.85 urban
-95.31 29.55 NA cropland
-95.31 29.54 NA cropland
-95.31 29.53 NA cropland
-95.31 29.52 NA cropland
-95.31 29.51 NA cropland
-95.31 29.5 31.87 cropland
-95.31 29.49 31.85 cropland
-95.31 29.48 31.89 cropland
-95.31 29.47 31.41 cropland
-95.32 29.75 36.97 urban
-95.32 29.74 37.13 urban
-95.32 29.73 37.09 urban
-95.32 29.72 36.31 urban
-95.32 29.71 35.89 urban
-95.32 29.7 36.63 urban
-95.32 29.69 36.29 urban
-95.32 29.68 36.47 urban
-95.32 29.67 35.61 urban
-95.32 29.66 34.27 cropland
-95.32 29.65 33.21 cropland
-95.32 29.64 33.35 cropland
-95.32 29.63 33.55 urban
-95.32 29.62 32.77 urban
-95.32 29.61 32.45 cropland
-95.32 29.6 32.55 cropland
-95.32 29.59 32.55 cropland
-95.32 29.58 32.51 cropland
-95.32 29.57 32.83 cropland
-95.32 29.56 33.79 urban
-95.32 29.55 33.33 cropland
-95.32 29.54 NA cropland
-95.32 29.53 NA cropland
-95.32 29.52 NA cropland
-95.32 29.51 NA cropland
-95.32 29.5 NA cropland
-95.32 29.49 31.63 cropland
-95.32 29.48 31.69 cropland
-95.32 29.47 31.47 cropland
-95.33 29.75 37.13 urban
-95.33 29.74 37.17 urban
-95.33 29.73 37.27 urban
-95.33 29.72 35.83 urban
-95.33 29.71 35.35 urban
-95.33 29.7 35.65 urban
-95.33 29.69 35.47 urban
-95.33 29.68 35.67 urban
-95.33 29.67 35.99 urban
-95.33 29.66 34.97 cropland
-95.33 29.65 33.85 grassland
-95.33 29.64 34.49 cropland
-95.33 29.63 34.75 urban
-95.33 29.62 32.89 cropland
-95.33 29.61 32.27 cropland
-95.33 29.6 32.75 cropland
-95.33 29.59 32.33 cropland
-95.33 29.58 32.47 cropland
-95.33 29.57 32.81 cropland
-95.33 29.56 33.33 cropland
-95.33 29.55 33.89 cropland
-95.33 29.54 32.79 cropland
-95.33 29.53 NA cropland
-95.33 29.52 NA cropland
-95.33 29.51 NA cropland
-95.33 29.5 NA cropland
-95.33 29.49 NA grassland
-95.33 29.48 31.51 cropland
-95.33 29.47 31.69 cropland
-95.34 29.75 37.23 urban
-95.34 29.74 37.21 urban
-95.34 29.73 37.11 urban
-95.34 29.72 35.61 urban
-95.34 29.71 35.51 urban
-95.34 29.7 35.73 urban
-95.34 29.69 35.57 urban
-95.34 29.68 35.47 urban
-95.34 29.67 35.37 urban
-95.34 29.66 34.69 urban
-95.34 29.65 34.25 urban
-95.34 29.64 34.85 urban
-95.34 29.63 35.29 urban
-95.34 29.62 33.47 cropland
-95.34 29.61 33.21 cropland
-95.34 29.6 33.51 cropland
-95.34 29.59 32.47 cropland
-95.34 29.58 32.85 cropland
-95.34 29.57 33.15 cropland
-95.34 29.56 33.51 urban
-95.34 29.55 34.53 cropland
-95.34 29.54 33.07 cropland
-95.34 29.53 32.39 cropland
-95.34 29.52 31.33 cropland
-95.34 29.51 NA cropland
-95.34 29.5 NA cropland
-95.34 29.49 NA cropland
-95.34 29.48 31.95 cropland
-95.34 29.47 31.71 cropland
-95.35 29.75 37.63 urban
-95.35 29.74 36.69 urban
-95.35 29.73 36.35 urban
-95.35 29.72 35.35 urban
-95.35 29.71 35.71 urban
-95.35 29.7 35.79 urban
-95.35 29.69 35.59 urban
-95.35 29.68 35.21 urban
-95.35 29.67 34.83 urban
-95.35 29.66 34.39 urban
-95.35 29.65 34.63 urban
-95.35 29.64 35.15 urban
-95.35 29.63 35.65 urban
-95.35 29.62 33.85 cropland
-95.35 29.61 33.83 cropland
-95.35 29.6 33.95 cropland
-95.35 29.59 32.81 cropland
-95.35 29.58 33.77 cropland
-95.35 29.57 33.49 cropland
-95.35 29.56 34.11 urban
-95.35 29.55 35.35 urban
-95.35 29.54 34.43 cropland
-95.35 29.53 32.77 cropland
-95.35 29.52 31.43 forest
-95.35 29.51 31.45 cropland
-95.35 29.5 NA cropland
-95.35 29.49 NA cropland
-95.35 29.48 NA cropland
-95.35 29.47 31.63 cropland
-95.36 29.75 37.53 urban
-95.36 29.74 36.63 urban
-95.36 29.73 36.73 urban
-95.36 29.72 35.63 urban
-95.36 29.71 36.35 urban
-95.36 29.7 36.05 urban
-95.36 29.69 35.79 urban
-95.36 29.68 35.45 urban
-95.36 29.67 34.61 urban
-95.36 29.66 34.15 urban
-95.36 29.65 34.29 urban
-95.36 29.64 34.17 urban
-95.36 29.63 33.93 urban
-95.36 29.62 34.35 urban
-95.36 29.61 34.57 cropland
-95.36 29.6 34.51 urban
-95.36 29.59 33.75 cropland
-95.36 29.58 34.81 cropland
-95.36 29.57 34.83 cropland
-95.36 29.56 35.43 cropland
-95.36 29.55 35.79 cropland
-95.36 29.54 35.11 cropland
-95.36 29.53 33.87 cropland
-95.36 29.52 31.77 cropland
-95.36 29.51 32.07 cropland
-95.36 29.5 31.83 cropland
-95.36 29.49 32.07 cropland
-95.36 29.48 32.47 cropland
-95.36 29.47 31.77 cropland
-95.37 29.75 37.43 urban
-95.37 29.74 36.63 urban
-95.37 29.73 36.89 urban
-95.37 29.72 36.03 urban
